['5347743', '6866291', '6925468'] #GCS: 0.0433047533411
['6780393', '6866291', '6925468'] #GCS: 0.050080628312
['5335750', '6840624', '6917899'] #GCS: 0.110476893916
['5335750', '6840624', '6918901'] #GCS: 0.0513870465691
['5335750', '6403007', '6866291'] #GCS: 0.0213616948546
['5335750', '6780393', '6866291'] #GCS: 0.0965751659515
['5335750', '5750745', '6866291'] #GCS: 0.0813100834068
['5335750', '5750745', '6403007'] #GCS: 0.0338064346327
['5335750', '5750745', '5805376'] #GCS: 0.0637414508661
['5335750', '6840624', '6872438'] #GCS: 0.116138587424
['5335750', '5805376', '6403007'] #GCS: 0.055744504714
['5318403', '5335750', '5805376'] #GCS: 0.0954679632404
['5335750', '5805376', '6872438'] #GCS: 0.0774295886427
['5335750', '5805376', '6866291'] #GCS: 0.0750756124952
['5335750', '5805376', '6780393', '6866291'] #GCS: 0.0814651679225
['5335750', '5805376', '6840624'] #GCS: 0.0604290827364
['5335750', '5805376', '6780393'] #GCS: 0.0594139697502
['6403007', '6769405', '6918901'] #GCS: 0.033625592203
['6403007', '6769405', '6780393'] #GCS: 0.0389231000592
['5347743', '6403007', '6769405'] #GCS: 0.0414759450453
['5347743', '6769405', '6866291'] #GCS: 0.198672747436
['6243535', '6769405', '6866291'] #GCS: 0.069480569768
['5805376', '6243535', '6769405'] #GCS: 0.0414796281493
['5347743', '6769405', '6872438'] #GCS: 0.101175161036
['5347743', '6243535', '6769405'] #GCS: 0.046013299102
['6243535', '6769405', '6780393'] #GCS: 0.032636154615
['5750745', '5805376', '6918901'] #GCS: 0.0117788332828
['6403007', '6866291', '6918901'] #GCS: 0.0447075793974
['5347743', '6866291', '6918901'] #GCS: 0.0978013107186
['6780393', '6840624', '6918901'] #GCS: 0.0628631569999
['5318403', '5750745', '6872438'] #GCS: 0.0217056523556
['5347743', '5750745', '6872438'] #GCS: 0.0326414397205
['5750745', '5805376', '6780393'] #GCS: 0.0804045593127
['5750745', '5805376', '6872438'] #GCS: 0.0349422522206
['5750745', '5805376', '6866291'] #GCS: 0.0865879133817
['5750745', '5805376', '6780393', '6866291'] #GCS: 0.0879219404498
['5750745', '6243535', '6866291'] #GCS: 0.0386316612833
['5750745', '6403007', '6866291'] #GCS: 0.0291403528182
['5750745', '6780393', '6866291'] #GCS: 0.0678851620179
['5805376', '6866291', '6917899'] #GCS: 0.0415452576867
['5318403', '5805376', '6872438'] #GCS: 0.0574485302071
['5805376', '6403007', '6840624'] #GCS: 0.0324413768899
['5318403', '5805376', '6403007'] #GCS: 0.0499266835987
['5805376', '6403007', '6872438'] #GCS: 0.0566133448406
['5805376', '6403007', '6780393'] #GCS: 0.0153114392914
['5805376', '6243535', '6840624'] #GCS: 0.0242967960877
['5318403', '5805376', '6840624'] #GCS: 0.0649754182646
['5347743', '5805376', '6840624'] #GCS: 0.0577679949384
['5805376', '6840624', '6872438'] #GCS: 0.0921563104968
['5347743', '5805376', '6243535'] #GCS: 0.0634832884523
['5347743', '5805376', '6872438'] #GCS: 0.0493690357236
['5805376', '6866291', '6872438'] #GCS: 0.0823779194489
['5347743', '5805376', '6866291'] #GCS: 0.0826642699895
['5805376', '6243535', '6866291'] #GCS: 0.113542686496
['5805376', '6780393', '6866291'] #GCS: 0.0718825751887
['5805376', '6243535', '6872438'] #GCS: 0.062153858465
['5203100', '6697415', '6917899'] #GCS: 0.0688461339068
['5203100', '6697415', '6866291'] #GCS: 0.119233259507
['5203100', '6866291', '6917899'] #GCS: 0.0840338379863
['6403007', '6780393', '6846862'] #GCS: 0.0285408168124
['6846862', '6866291', '6917899'] #GCS: 0.0597919057102
['6846862', '6872438', '6917899'] #GCS: 0.0692694085425
['5347743', '6846862', '6917899'] #GCS: 0.0360992567383
['6243535', '6840624', '6846862'] #GCS: 0.0565658289112
['5347743', '6840624', '6846862'] #GCS: 0.0659352050996
['5347743', '6846862', '6866291'] #GCS: 0.0924828117057
['6243535', '6846862', '6866291'] #GCS: 0.0752362200698
['6243535', '6846862', '6872438'] #GCS: 0.0416269756551
['6697415', '6866291', '6872438'] #GCS: 0.137243274742
['6243535', '6697415', '6866291'] #GCS: 0.126877861053
['5347743', '6697415', '6866291'] #GCS: 0.061138146803
['6697415', '6872438', '6917899'] #GCS: 0.107127080313
['6243535', '6697415', '6917899'] #GCS: 0.0945631039695
['6697415', '6840624', '6917899'] #GCS: 0.067956614205
['6697415', '6866291', '6917899'] #GCS: 0.125655073121
['5347743', '6243535', '6917899'] #GCS: 0.0392327891871
['6866291', '6872438', '6917899'] #GCS: 0.10909996445
['5347743', '6866291', '6917899'] #GCS: 0.0442200068248
['6243535', '6866291', '6917899'] #GCS: 0.0897877034525
['6243535', '6840624', '6917899'] #GCS: 0.0419959783542
['5347743', '6403007', '6866291'] #GCS: 0.0737298639493
['6780393', '6840624', '6866291'] #GCS: 0.0640324103257
['6243535', '6780393', '6866291'] #GCS: 0.0142715640049
['5347743', '6780393', '6866291'] #GCS: 0.0178549180728
['5347743', '6243535', '6866291'] #GCS: 0.0914792571337
['5347743', '6403007', '6840624'] #GCS: 0.0354159080803
['5318403', '5347743', '6403007'] #GCS: 0.0854466630882
